Course Code,Crosslisting,Course Title,Session,Credit,Class Time,Instructor
ACCT 100 LEC 1,,Principles of Financial Accounting,16W,3,TTh 11:00a-12:15p,Syed Zain  ul Abidin
ACCT 100 LEC 2,,Principles of Financial Accounting,16W,3,TTh 12:30p-1:45p,Syed Zain  ul Abidin
ACCT 100 LEC 3,,Principles of Financial Accounting,16W,3,TTh 2:00p-3:15p,Syed Zain  ul Abidin
ACCT 100 LEC 4,,Principles of Financial Accounting,16W,3,TTh 3:30p-4:45p,Zainab Mehmood
ACCT 100 LEC 5,,Principles of Financial Accounting,16W,3,TTh 5:00p-6:15p,Zainab Mehmood
ACCT 100 LEC 6,,Principles of Financial Accounting,16W,3,MW 9:30a-10:45a,Saira Rizwan
ACCT 100 LEC 7,,Principles of Financial Accounting,16W,3,MW 11:00a-12:15p,Saira Rizwan
ACCT 130 LEC 1,,Principles of Management Accounting,16W,3,TTh 9:30a-10:45a,Ayesha Bhatti
ACCT 130 LEC 2,,Principles of Management Accounting,16W,3,TTh 11:00a-12:15p,Ayesha Bhatti
ACCT 130 LEC 3,,Principles of Management Accounting,16W,3,TTh 2:00p-3:15p,Ayesha Bhatti
ACCT 130 LEC 4,,Principles of Management Accounting,16W,3,TTh 12:30p-1:45p,Ayesha Bhatti
ACCT 130 LEC 5,,Principles of Management Accounting,16W,3,TTh 9:30a-10:45a,Mahin Moazzam
ACCT 130 LEC 6,,Principles of Management Accounting,16W,3,TTh 11:00a-12:15p,Mahin Moazzam
ACCT 130 LEC 7,,Principles of Management Accounting,16W,3,TTh 2:00p-3:15p,Mahin Moazzam
ACCT 202 LEC 1,,"Theory and Concepts of Accounting - Islamic
Perspective",16W,3,MW 9:30a-10:45a,Abdul Rauf
ACCT 202 LEC 2,,"Theory and Concepts of Accounting - Islamic
Perspective",16W,3,MW 11:00a-12:15p,Abdul Rauf
ACCT 220 LEC 1,,Corporate Financial Reporting I,16W,3,MW 11:00a-12:15p,Samia Ahmed Ali
ACCT 220 LEC 2,,Corporate Financial Reporting I,16W,3,MW 12:30p-1:45p,Samia Ahmed Ali
ACCT 220 LEC 3,,Corporate Financial Reporting I,16W,3,MW 2:00p-3:15p,Samia Ahmed Ali
ACCT 411 LEC 1,,Applied Financial Analysis,16W,3,MW 2:00p-3:15p,Saira Rizwan
ACCT 482 LEC 1,,"Governance, Risk and Compliance",16W,3,MW 8:00a-9:15a,Ali Qamar
ACF 2101 LEC 1,,Introduction to Finance and Accounting,SDSB-Foundation,1.5,MThFSSu 2:00p-4:10p,Syed Zain  ul Abidin
ACF 2101 LEC 2,,Introduction to Finance and Accounting,SDSB-Foundation,1.5,MThFSSu 11:00a-1:10p,
ACF 5101 LEC 1,,Financial Management and Accounting,MS1,3,FSSu 2:00p-4:00p,"Samia Ahmed Ali
Syed Mubashir Ali"
ACTA 6202 LEC 1,,Analytics in Accounting and Control,MS1,3,FSSu 10:45a-12:45p,Ali Qamar
AI 500 LEC 1,,Foundations of AI,16W,3,S 12:30p-3:30p,Murtaza Taj
AI 501 LEC 1,,Mathematics for AI,16W,3,S 9:30a-12:30p,Zubair Khalid
ANTH 100 LEC 1,,Introduction to Cultural Anthropology,16W,4,MW 4:00p-5:50p,Syeedda Anjum Ara Alvi
ANTH 100 LEC 2,,Introduction to Cultural Anthropology,16W,4,MW 2:00p-3:50p,Sadaf Ahmad
ANTH 276 LEC 1,,Anthropology of Social Media,16W,4,TTh 4:00p-5:50p,Rabia Kamal
ANTH 312 LEC 1,,Modernity as a Way of Life,16W,4,TTh 10:00a-11:50a,Lukas Albert Paul Werth
ANTH 434 LEC 1,ECON 4402,Putting Social Science to the Test: Mixed-Methods Approaches to Lahore’s Developmental Challenges,16W,4,TTh 12:00p-1:50p,Ameem Lutfi Farah Said
ANTH 464 LEC 1,REL 453,Children of Abraham,16W,4,TTh 2:00p-3:50p,Lukas Albert Paul Werth
ANTH 483 LEC 1,HIST 4202,Caste in South Asia and Beyond,16W,4,MW 12:00p-1:50p,Dominic William Esler
BIO 101 LEC 1,,Introductory Biology,16W,3,MW 5:00p-6:15p,"Muhammad Shoaib Muhammad Tariq
Safee Ullah Chaudhary"
BIO 216 LEC 1,,Molecular Biology,16W,3,MW 1:00p-2:15p,"Muhammad Shoaib
Muhammad Tariq"
BIO 221 LEC 1,,Genetics,16W,4,MW 10:30a-12:20p,"Khurram Bashir
Muhammad Tariq"
BIO 300 LAB 1,BIO 500,Methods in Cell and Molecular Biology,16W,4,MWF 9:00a-9:50a,"Khurram Bashir Shaper Mirza Zaigham Shahzad Muhammad Shoaib
Muhammad Tariq"
BIO 300 LAB 1a,BIO 500,Methods in Cell and Molecular Biology,16W,4,MWF 10:00a-12:50p,Khalida Mazhar
BIO 313 LEC 1,,Cell Biology,16W,3,TTh 11:30a-12:45p,"Khurram Bashir
Faiz Ul Hassan Nasim"
BIO 331 LEC 1,CS 330,Computational Biology II,16W,3,MW 2:30p-3:45p,Safee Ullah Chaudhary
BIO 401 SEM 1,,Seminars in Biology,16W,1,M 1:00p-1:50p,Khurram Bashir
BIO 403 LEC 1,BIO 503,"Critical thinking, Scientific Writing and Ethics",16W,3,TTh 3:00p-4:15p,"Khurram Bashir
Muhammad Shoaib"
BIO 513 LEC 1,,Biophysical Techniques,16W,3,TTh 2:30p-3:45p,Faiz Ul Hassan Nasim
BIO 516 LEC 1,,Advanced Molecular and Cell Biology,16W,3,TTh 4:00p-5:15p,"Shaper Mirza
Zaigham Shahzad"
BIO 517 LEC 1,,Molecular Mechanisms of Bacterial Pathagenesis,16W,3,TTh 1:00p-2:15p,Shaper Mirza
BIO 523 LEC 1,,RNA Biology,16W,3,TTh 4:30p-5:45p,Faiz Ul Hassan Nasim
BIO 524 LEC 1,,Evolution,16W,3,TTh 10:00a-11:15a,Zaigham Shahzad
BIO 531 LEC 1,,Computational Biology,16W,3,TTh 11:30a-12:45p,Safee Ullah Chaudhary
CHE 210 LEC 1,,Physical Chemistry,16W,3,MW 10:30a-11:45a,Falak Sher
CHE 260 LEC 1,,Principles of Chemical Engineering,16W,3,MW 12:00p-1:15p,Qandeel Almas
CHE 262 LEC 1,,Particle Science and Engineering,16W,3,TTh 5:00p-6:15p,Muhammad Faheem
CHE 300A LAB 1,,Chemical Engineering Lab II,16W,1,W 11:00a-1:50p,Faheem Hassan Akhtar
CHE 302 LEC 1,SCI 307,Air Pollution,16W,3,TTh 12:00p-1:15p,Shahana Khurshid
CHE 320 LEC 1,,Separation Processes,16W,3,TTh 9:00a-10:15a,Tauqeer Abbas
CHE 330 LEC 1,,Math Methods in Chemical Engineering II,16W,3,MW 9:00a-10:15a,Usman Bin Shahid
CHE 352 LEC 1,,Heat and Mass Transfer,16W,3,TTh 3:00p-4:15p,Ali Rauf
CHE 401 LEC 1,,Chemical Process Design,16W,4,TTh 2:00p-3:15p,Qandeel Almas
CHE 401 LAB 1,,Chemical Process Design,16W,4,F 2:00p-4:50p,Qandeel Almas
CHE 401A LAB 1,,Chemical Engineering Lab - V,16W,1,Th 8:00a-10:50a,"Qandeel Almas
Usman Bin Shahid"
CHE 401B LAB 1,,Chemical Engineering Lab - VI,16W,1,T 8:00a-10:50a,"Qasim Imtiaz
Ali Rauf"
CHE 415 LEC 1,,"Renewable Energy: Fundamentals, Applications,
and Economics",16W,3,TTh 2:00p-3:15p,Tauqeer Abbas
CHE 422 LEC 1,,Chemical Process Safety,16W,2,MW 10:00a-10:50a,Faheem Hassan Akhtar
CHE 710 LEC 1,,Transport Processes in the Environment,16W,3,TTh 8:00a-9:15a,Shahana Khurshid
CHEM 101 LEC 1,,Principles of Chemistry,16W,3,MW 3:30p-4:45p,Habib-ur- Rehman
CHEM 101 LEC 2,,Principles of Chemistry,16W,3,TTh 5:00p-6:15p,Basit Yameen
CHEM 221 LEC 1,PHY 335,Molecular Symmetry I,16W,3,TTh 5:00p-6:15p,Muhammad Zaheer
CHEM 231 LEC 1,,Fundamentals of Organic Chemistry,16W,3,MW 3:00p-4:15p,Irshad Hussain
CHEM 314 LEC 1,,Quantum Chemistry,16W,3,MW 10:00a-11:15a,Habib-ur- Rehman
CHEM 324 LEC 1,,Inorganic Chemistry I,16W,3,TTh 2:00p-3:15p,Ghayoor Abbas Chotana
CHEM 332 LEC 1,,Chemistry of the Organic Functional Groups,16W,3,TTh 10:30a-11:45a,Muhammad Saeed
CHEM 342 LEC 1,,Analytical Chemistry I,16W,3,MW 8:00a-9:15a,"Muhammad Saeed
Muhammad Zaheer"
CHEM 410 LAB 1,,Physical Chemistry Lab,16W,2,F 3:00p-5:50p,Salman Noshear Arshad
CHEM 410 LEC 1,,Physical Chemistry Lab,16W,2,F 12:00p-12:50p,Salman Noshear Arshad
CHEM 430 LAB 1,,Organic Chemistry Lab II,16W,2,F 9:00a-11:50a,Muhammad Saeed
CHEM 430 LEC 1,,Organic Chemistry Lab II,16W,2,F 8:00a-8:50a,Muhammad Saeed
CHEM 516 LEC 1,,Characterization Techniques for Materials,16W,3,TTh 11:00a-12:15p,Salman Noshear Arshad
CHEM 521 LEC 1,,Advanced Inorganic Chemistry I,16W,3,TTh 9:00a-10:15a,Ghayoor Abbas Chotana
CHEM 531 LEC 1,,Advanced Organic Chemistry I,16W,3,MW 1:00p-2:15p,Irshad Hussain
CHEM 532 LEC 1,,Chemistry of Biomolecule,16W,3,MW 10:00a-11:15a,Muhammad Saeed
CHEM 721 LEC 1,,Selected Topics in Inorganic Chemistry,16W,3,MW 9:00a-10:15a,Ghayoor Abbas Chotana
CHEM 731 LEC 1,,Selected Topics in Organic Chemistry,16W,3,MW 1:00p-2:15p,Irshad Hussain
CLCA 1000 LEC 1,,Engaging with Texts and Contexts,16W,4,TTh 10:00a-11:50a,"Fatima Fayyaz
Maryam Wasif Khan"
CLCA 2119 LEC 1,,Mechanics of Fiction,16W,4,MW 12:00p-1:50p,Bilal Tanweer
CLCA 2122 LEC 1,,Urdu Afsana,16W,4,TTh 4:30p-6:20p,Zia Ul Hassan
CLCA 2133 LEC 1,,Fountain of the Sun: Rumi’s Masnavi and Divan,16W,4,TTh 1:30p-3:20p,Fatima Fayyaz
CLCA 2222 LEC 1,,The Critical Lens: The Art of Filmmaking,16W,4,MW 2:00p-3:50p,Raja Mohammad Tabish Habib
CLCA 2523 LEC 1,,Introduction to Illustrative Storytelling,16W,4,MW 10:00a-11:50a,
CLCA 3123 LEC 1,,Aag ka Darya: A Close Reading,16W,4,MW 4:00p-5:50p,Nasir Abbas
CLCA 3211 LEC 1,,Film and Screen Studies Research Seminar,16W,4,TTh 12:00p-1:50p,Zebunnisa Hamid
CLCA 3324 LEC 1,,The Craft of Translation,16W,4,TTh 2:00p-3:50p,Bilal Tanweer
CLCA 3325 LEC 1,,Life Writing and the Multilingual Self,16W,4,MW 8:00a-9:50a,Usama Mumtaz Lali
CS 100 LEC 1,,Computational Problem Solving,16W,3,TTh 4:00p-4:50p,"Maryam Mustafa
Shafay Shamail"
CS 100 LEC 2,,Computational Problem Solving,16W,3,MW 12:00p-12:50p,"Maryam Mustafa
Shafay Shamail"
CS 100 LAB 1,,Computational Problem Solving,16W,3,M 8:00a-10:50a,"Maryam Mustafa
Shafay Shamail"
CS 100 LAB 2,,Computational Problem Solving,16W,3,F 2:00p-4:50p,"Maryam Mustafa
Shafay Shamail"
CS 200 LEC 1,EE 201,Introduction to Programming,16W,4,MW 10:00a-11:15a,Zartash Afzal Uzmi
CS 200 LEC 2,EE 201,Introduction to Programming,16W,4,TTh 10:00a-11:15a,Zartash Afzal Uzmi
CS 200 LAB 1,EE 201,Introduction to Programming,16W,4,M 1:00p-3:50p,Zartash Afzal Uzmi
CS 200 LAB 2,EE 201,Introduction to Programming,16W,4,F 10:00a-12:50p,Zartash Afzal Uzmi
CS 202 LEC 1,EE 202,Data Structures,16W,3,TTh 10:00a-11:15a,"Waqar Ahmad
Muhammad Sohaib Ayub"
CS 210 LEC 1,MATH 252,Discrete Mathematics,16W,4,TTh 1:00p-2:50p,Malik Jahan Khan
CS 210 LEC 2,MATH 252,Discrete Mathematics,16W,4,TTh 3:00p-4:50p,Malik Jahan Khan
CS 225 LEC 1,,Fundamentals of Computer Systems,16W,4,TTh 8:00a-9:50a,Muhammad Jahangir Ikram
CS 225 LEC 2,,Fundamentals of Computer Systems,16W,4,TTh 4:00p-5:50p,Muhammad Adeel Ahmed Pasha
CS 310 LEC 1,CS 5102,Algorithms,16W,3,TTh 1:30p-2:45p,Imdad ullah khan
CS 334 LEC 1,EE 402,Principles and Techniques of Data Science,16W,3,TTh 12:00p-1:15p,Ihsan Ayyub Qazi
CS 340 LEC 1,,Databases,16W,3,MW 9:00a-10:15a,"Asim Karim
Basit Shafiq"
CS 340 LEC 2,,Databases,16W,3,TTh 9:00a-10:15a,"Asim Karim
Basit Shafiq"
CS 370 LEC 1,,Operating Systems,16W,3,MW 10:00a-11:15a,"Naveed Anwar Bhatti
Muhammad Hammad Alizai"
CS 370 LEC 2,,Operating Systems,16W,3,MW 4:00p-5:15p,"Naveed Anwar Bhatti
Muhammad Hammad Alizai"
