Course Code,Course Title,Session,Credit,Class Time,Start Time,End Time,Instructor,Cross Listing Code,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
ACCT 100 LEC 1,Principles of Financial Accounting,16W,3.0,11:00a-12:15p,11:00,12:15,Syed Zain  ul Abidin,,0,1,0,1,0,0,0
ACCT 100 LEC 2,Principles of Financial Accounting,16W,3.0,12:30p-1:45p,12:30,13:45,Syed Zain  ul Abidin,,0,1,0,1,0,0,0
ACCT 100 LEC 3,Principles of Financial Accounting,16W,3.0,2:00p-3:15p,14:00,15:15,Syed Zain  ul Abidin,,0,1,0,1,0,0,0
ACCT 100 LEC 4,Principles of Financial Accounting,16W,3.0,3:30p-4:45p,15:30,16:45,Zainab Mehmood,,0,1,0,1,0,0,0
ACCT 100 LEC 5,Principles of Financial Accounting,16W,3.0,5:00p-6:15p,17:00,18:15,Zainab Mehmood,,0,1,0,1,0,0,0
ACCT 100 LEC 6,Principles of Financial Accounting,16W,3.0,9:30a-10:45a,09:30,10:45,Saira Rizwan,,1,0,1,0,0,0,0
ACCT 100 LEC 7,Principles of Financial Accounting,16W,3.0,11:00a-12:15p,11:00,12:15,Saira Rizwan,,1,0,1,0,0,0,0
ACCT 130 LEC 1,Principles of Management Accounting,16W,3.0,9:30a-10:45a,09:30,10:45,Ayesha Bhatti,,0,1,0,1,0,0,0
ACCT 130 LEC 2,Principles of Management Accounting,16W,3.0,11:00a-12:15p,11:00,12:15,Ayesha Bhatti,,0,1,0,1,0,0,0
ACCT 130 LEC 3,Principles of Management Accounting,16W,3.0,2:00p-3:15p,14:00,15:15,Ayesha Bhatti,,0,1,0,1,0,0,0
ACCT 130 LEC 4,Principles of Management Accounting,16W,3.0,12:30p-1:45p,12:30,13:45,Ayesha Bhatti,,0,1,0,1,0,0,0
ACCT 130 LEC 5,Principles of Management Accounting,16W,3.0,9:30a-10:45a,09:30,10:45,Mahin Moazzam,,0,1,0,1,0,0,0
ACCT 130 LEC 6,Principles of Management Accounting,16W,3.0,11:00a-12:15p,11:00,12:15,Mahin Moazzam,,0,1,0,1,0,0,0
ACCT 130 LEC 7,Principles of Management Accounting,16W,3.0,2:00p-3:15p,14:00,15:15,Mahin Moazzam,,0,1,0,1,0,0,0
ACCT 202 LEC 1,"Theory and Concepts of Accounting - Islamic
Perspective",16W,3.0,9:30a-10:45a,09:30,10:45,Abdul Rauf,,1,0,1,0,0,0,0
ACCT 202 LEC 2,"Theory and Concepts of Accounting - Islamic
Perspective",16W,3.0,11:00a-12:15p,11:00,12:15,Abdul Rauf,,1,0,1,0,0,0,0
ACCT 220 LEC 1,Corporate Financial Reporting I,16W,3.0,11:00a-12:15p,11:00,12:15,Samia Ahmed Ali,,1,0,1,0,0,0,0
ACCT 220 LEC 2,Corporate Financial Reporting I,16W,3.0,12:30p-1:45p,12:30,13:45,Samia Ahmed Ali,,1,0,1,0,0,0,0
ACCT 220 LEC 3,Corporate Financial Reporting I,16W,3.0,2:00p-3:15p,14:00,15:15,Samia Ahmed Ali,,1,0,1,0,0,0,0
ACCT 411 LEC 1,Applied Financial Analysis,16W,3.0,2:00p-3:15p,14:00,15:15,Saira Rizwan,,1,0,1,0,0,0,0
ACCT 482 LEC 1,"Governance, Risk and Compliance",16W,3.0,8:00a-9:15a,08:00,09:15,Ali Qamar,,1,0,1,0,0,0,0
ACF 2101 LEC 1,Introduction to Finance and Accounting,SDSB-Foundation,1.5,2:00p-4:10p,14:00,16:10,Syed Zain  ul Abidin,,1,0,0,1,1,1,1
ACF 2101 LEC 2,Introduction to Finance and Accounting,SDSB-Foundation,1.5,11:00a-1:10p,11:00,13:10,TBA,,1,0,0,1,1,1,1
ACF 5101 LEC 1,Financial Management and Accounting,MS1,3.0,2:00p-4:00p,14:00,16:00,"Samia Ahmed Ali
Syed Mubashir Ali",,0,0,0,0,1,1,1
ACTA 6202 LEC 1,Analytics in Accounting and Control,MS1,3.0,10:45a-12:45p,10:45,12:45,Ali Qamar,,0,0,0,0,1,1,1
AI 500 LEC 1,Foundations of AI,16W,3.0,12:30p-3:30p,12:30,15:30,Murtaza Taj,,0,0,0,0,0,1,0
AI 501 LEC 1,Mathematics for AI,16W,3.0,9:30a-12:30p,09:30,12:30,Zubair Khalid,,0,0,0,0,0,1,0
ANTH 100 LEC 1,Introduction to Cultural Anthropology,16W,4.0,4:00p-5:50p,16:00,17:50,Syeedda Anjum Ara Alvi,,1,0,1,0,0,0,0
ANTH 100 LEC 2,Introduction to Cultural Anthropology,16W,4.0,2:00p-3:50p,14:00,15:50,Sadaf Ahmad,,1,0,1,0,0,0,0
ANTH 276 LEC 1,Anthropology of Social Media,16W,4.0,4:00p-5:50p,16:00,17:50,Rabia Kamal,,0,1,0,1,0,0,0
ANTH 312 LEC 1,Modernity as a Way of Life,16W,4.0,10:00a-11:50a,10:00,11:50,Lukas Albert Paul Werth,,0,1,0,1,0,0,0
ANTH 434 LEC 1,Putting Social Science to the Test: Mixed-Methods Approaches to Lahoreâs Developmental Challenges,16W,4.0,12:00p-1:50p,12:00,13:50,Ameem Lutfi Farah Said,ECON 4402,0,1,0,1,0,0,0
ECON 4402 LEC 1,Putting Social Science to the Test: Mixed-Methods Approaches to Lahoreâs Developmental Challenges,16W,4.0,12:00p-1:50p,12:00,13:50,Ameem Lutfi Farah Said,ANTH 434,0,1,0,1,0,0,0
ANTH 464 LEC 1,Children of Abraham,16W,4.0,2:00p-3:50p,14:00,15:50,Lukas Albert Paul Werth,REL 453,0,1,0,1,0,0,0
