Course Code,Course Title,Session,Instructor,Cr Hrs,Day and Time
ACCT 100 LEC 1,Principles of Financial Accounting,16W,Syed Zain  ul Abidin,3.0,TR 11:00AM-12:15PM
ACCT 100 LEC 2,Principles of Financial Accounting,16W,Syed Zain  ul Abidin,3.0,TR 12:30PM-1:45PM
ACCT 100 LEC 3,Principles of Financial Accounting,16W,Syed Zain  ul Abidin,3.0,TR 2:00PM-3:15PM
ACCT 100 LEC 4,Principles of Financial Accounting,16W,Zainab Mehmood,3.0,TR 3:30PM-4:45PM
ACCT 100 LEC 5,Principles of Financial Accounting,16W,Zainab Mehmood,3.0,TR 5:00PM-6:15PM
ACCT 100 LEC 6,Principles of Financial Accounting,16W,Saira Rizwan,3.0,MW 9:30AM-10:45AM
ACCT 100 LEC 7,Principles of Financial Accounting,16W,Saira Rizwan,3.0,MW 11:00AM-12:15PM
ACCT 130 LEC 1,Principles of Management Accounting,16W,Ayesha Bhatti,3.0,TR 9:30AM-10:45AM
ACCT 130 LEC 2,Principles of Management Accounting,16W,Ayesha Bhatti,3.0,TR 11:00AM-12:15PM
ACCT 130 LEC 3,Principles of Management Accounting,16W,Ayesha Bhatti,3.0,TR 2:00PM-3:15PM
ACCT 130 LEC 4,Principles of Management Accounting,16W,Ayesha Bhatti,3.0,TR 12:30PM-1:45PM
ACCT 130 LEC 5,Principles of Management Accounting,16W,Mahin Moazzam,3.0,TR 9:30AM-10:45AM
ACCT 130 LEC 6,Principles of Management Accounting,16W,Mahin Moazzam,3.0,TR 11:00AM-12:15PM
ACCT 130 LEC 7,Principles of Management Accounting,16W,Mahin Moazzam,3.0,TR 2:00PM-3:15PM
ACCT 202 LEC 1,"Theory and Concepts of Accounting - Islamic
Perspective",16W,Abdul Rauf,3.0,MW 9:30AM-10:45AM
ACCT 202 LEC 2,"Theory and Concepts of Accounting - Islamic
Perspective",16W,Abdul Rauf,3.0,MW 11:00AM-12:15PM
ACCT 220 LEC 1,Corporate Financial Reporting I,16W,Samia Ahmed Ali,3.0,MW 11:00AM-12:15PM
ACCT 220 LEC 2,Corporate Financial Reporting I,16W,Samia Ahmed Ali,3.0,MW 12:30PM-1:45PM
ACCT 220 LEC 3,Corporate Financial Reporting I,16W,Samia Ahmed Ali,3.0,MW 2:00PM-3:15PM
ACCT 411 LEC 1,Applied Financial Analysis,16W,Saira Rizwan,3.0,MW 2:00PM-3:15PM
ACCT 482 LEC 1,"Governance, Risk and Compliance",16W,Ali Qamar,3.0,MW 8:00AM-9:15AM
ACF 2101 LEC 1,Introduction to Finance and Accounting,SDSB-Foundation,Syed Zain  ul Abidin,1.5,MRFSU 2:00PM-4:10PM
ACF 2101 LEC 2,Introduction to Finance and Accounting,SDSB-Foundation,,1.5,MRFSU 11:00AM-1:10PM
ACF 5101 LEC 1,Financial Management and Accounting,MS1,"Samia Ahmed Ali
Syed Mubashir Ali",3.0,FSU 2:00PM-4:00PM
ACTA 6202 LEC 1,Analytics in Accounting and Control,MS1,Ali Qamar,3.0,FSU 10:45AM-12:45PM
AI 500 LEC 1,Foundations of AI,16W,Murtaza Taj,3.0,S 12:30PM-3:30PM
AI 501 LEC 1,Mathematics for AI,16W,Zubair Khalid,3.0,S 9:30AM-12:30PM
ANTH 100 LEC 1,Introduction to Cultural Anthropology,16W,Syeedda Anjum Ara Alvi,4.0,MW 4:00PM-5:50PM
ANTH 100 LEC 2,Introduction to Cultural Anthropology,16W,Sadaf Ahmad,4.0,MW 2:00PM-3:50PM
ANTH 276 LEC 1,Anthropology of Social Media,16W,Rabia Kamal,4.0,TR 4:00PM-5:50PM
ANTH 312 LEC 1,Modernity as a Way of Life,16W,Lukas Albert Paul Werth,4.0,TR 10:00AM-11:50AM
ANTH 434 LEC 1,Putting Social Science to the Test: Mixed-Methods Approaches to Lahore’s Developmental Challenges,16W,Ameem Lutfi Farah Said,4.0,TR 12:00PM-1:50PM
ANTH 464 LEC 1,Children of Abraham,16W,Lukas Albert Paul Werth,4.0,TR 2:00PM-3:50PM
ANTH 483 LEC 1,Caste in South Asia and Beyond,16W,Dominic William Esler,4.0,MW 12:00PM-1:50PM
BIO 101 LEC 1,Introductory Biology,16W,"Muhammad Shoaib Muhammad Tariq
Safee Ullah Chaudhary",3.0,MW 5:00PM-6:15PM
BIO 216 LEC 1,Molecular Biology,16W,"Muhammad Shoaib
Muhammad Tariq",3.0,MW 1:00PM-2:15PM
BIO 221 LEC 1,Genetics,16W,"Khurram Bashir
Muhammad Tariq",4.0,MW 10:30AM-12:20PM
BIO 300 LAB 1,Methods in Cell and Molecular Biology,16W,"Khurram Bashir Shaper Mirza Zaigham Shahzad Muhammad Shoaib
Muhammad Tariq",4.0,MWF 9:00AM-9:50AM
BIO 300 LAB 1a,Methods in Cell and Molecular Biology,16W,Khalida Mazhar,4.0,MWF 10:00AM-12:50PM
BIO 313 LEC 1,Cell Biology,16W,"Khurram Bashir
Faiz Ul Hassan Nasim",3.0,TR 11:30AM-12:45PM
BIO 331 LEC 1,Computational Biology II,16W,Safee Ullah Chaudhary,3.0,MW 2:30PM-3:45PM
BIO 401 SEM 1,Seminars in Biology,16W,Khurram Bashir,1.0,M 1:00PM-1:50PM
BIO 403 LEC 1,"Critical thinking, Scientific Writing and Ethics",16W,"Khurram Bashir
Muhammad Shoaib",3.0,TR 3:00PM-4:15PM
BIO 513 LEC 1,Biophysical Techniques,16W,Faiz Ul Hassan Nasim,3.0,TR 2:30PM-3:45PM
BIO 516 LEC 1,Advanced Molecular and Cell Biology,16W,"Shaper Mirza
Zaigham Shahzad",3.0,TR 4:00PM-5:15PM
BIO 517 LEC 1,Molecular Mechanisms of Bacterial Pathagenesis,16W,Shaper Mirza,3.0,TR 1:00PM-2:15PM
BIO 523 LEC 1,RNA Biology,16W,Faiz Ul Hassan Nasim,3.0,TR 4:30PM-5:45PM
BIO 524 LEC 1,Evolution,16W,Zaigham Shahzad,3.0,TR 10:00AM-11:15AM
BIO 531 LEC 1,Computational Biology,16W,Safee Ullah Chaudhary,3.0,TR 11:30AM-12:45PM
CHE 210 LEC 1,Physical Chemistry,16W,Falak Sher,3.0,MW 10:30AM-11:45AM
CHE 260 LEC 1,Principles of Chemical Engineering,16W,Qandeel Almas,3.0,MW 12:00PM-1:15PM
CHE 262 LEC 1,Particle Science and Engineering,16W,Muhammad Faheem,3.0,TR 5:00PM-6:15PM
CHE 300A LAB 1,Chemical Engineering Lab II,16W,Faheem Hassan Akhtar,1.0,W 11:00AM-1:50PM
CHE 302 LEC 1,Air Pollution,16W,Shahana Khurshid,3.0,TR 12:00PM-1:15PM
